old_path,new_path,status,reason
/best-maid-service-in-patna,,410,"best-service-in-city: city 'patna' outside footprint"
/best-maid-service-in-pune,/pune,301,"best-service-in-city: umbrella maid → city hub"
/best-maid-service-in-raipur,,410,"best-service-in-city: city 'raipur' outside footprint"
/best-maid-service-in-ranchi,,410,"best-service-in-city: city 'ranchi' outside footprint"
/best-maid-service-in-surat,,410,"best-service-in-city: city 'surat' outside footprint"
/best-maid-service-in-thane,,410,"best-service-in-city: city 'thane' outside footprint"
/best-maid-service-in-thiruvananthapuram,,410,"best-service-in-city: city 'thiruvananthapuram' outside footprint"
/best-maid-service-in-vadodara,,410,"best-service-in-city: city 'vadodara' outside footprint"
/best-maid-service-in-varanasi,,410,"best-service-in-city: city 'varanasi' outside footprint"
/best-maid-service-in-vijayawada,,410,"best-service-in-city: city 'vijayawada' outside footprint"
/best-maid-service-in-visakhapatnam,,410,"best-service-in-city: city 'visakhapatnam' outside footprint"
/best-nanny-service-in-agra,,410,"best-service-in-city: city 'agra' outside footprint"
/best-nanny-service-in-ahmedabad,,410,"best-service-in-city: city 'ahmedabad' outside footprint"
/best-nanny-service-in-bangalore,/services/babysitter-nanny/bangalore,301,"best-service-in-city: service×city"
/best-nanny-service-in-bhopal,,410,"best-service-in-city: city 'bhopal' outside footprint"
/best-nanny-service-in-bhubaneswar,,410,"best-service-in-city: city 'bhubaneswar' outside footprint"
/best-nanny-service-in-chandigarh,,410,"best-service-in-city: city 'chandigarh' outside footprint"
/best-nanny-service-in-chennai,,410,"best-service-in-city: city 'chennai' outside footprint"
/best-nanny-service-in-coimbatore,,410,"best-service-in-city: city 'coimbatore' outside footprint"
/best-nanny-service-in-dehradun,,410,"best-service-in-city: city 'dehradun' outside footprint"
/best-nanny-service-in-delhi,/services/babysitter-nanny/delhi,301,"best-service-in-city: service×city"
/best-nanny-service-in-faridabad,,410,"best-service-in-city: city 'faridabad' outside footprint"
/best-nanny-service-in-ghaziabad,,410,"best-service-in-city: city 'ghaziabad' outside footprint"
/best-nanny-service-in-gurugram,/services/babysitter-nanny/gurgaon,301,"best-service-in-city: service×city"
/best-nanny-service-in-guwahati,,410,"best-service-in-city: city 'guwahati' outside footprint"
/best-nanny-service-in-hyderabad,,410,"best-service-in-city: city 'hyderabad' outside footprint"
/best-nanny-service-in-indore,,410,"best-service-in-city: city 'indore' outside footprint"
/best-nanny-service-in-jaipur,,410,"best-service-in-city: city 'jaipur' outside footprint"
/best-nanny-service-in-jodhpur,,410,"best-service-in-city: city 'jodhpur' outside footprint"
/best-nanny-service-in-kanpur,,410,"best-service-in-city: city 'kanpur' outside footprint"
/best-nanny-service-in-kochi,,410,"best-service-in-city: city 'kochi' outside footprint"
/best-nanny-service-in-kolkata,,410,"best-service-in-city: city 'kolkata' outside footprint"
/best-nanny-service-in-lucknow,,410,"best-service-in-city: city 'lucknow' outside footprint"
/best-nanny-service-in-ludhiana,,410,"best-service-in-city: city 'ludhiana' outside footprint"
/best-nanny-service-in-madurai,,410,"best-service-in-city: city 'madurai' outside footprint"
/best-nanny-service-in-mangalore,/services/babysitter-nanny/mangalore,301,"best-service-in-city: service×city"
/best-nanny-service-in-mumbai,/services/babysitter-nanny/mumbai,301,"best-service-in-city: service×city"
/best-nanny-service-in-mysore,,410,"best-service-in-city: city 'mysore' outside footprint"
/best-nanny-service-in-nagpur,,410,"best-service-in-city: city 'nagpur' outside footprint"
/best-nanny-service-in-nashik,,410,"best-service-in-city: city 'nashik' outside footprint"
/best-nanny-service-in-navi-mumbai,/services/babysitter-nanny/mumbai,301,"best-service-in-city: service×city"
/best-nanny-service-in-noida,/services/babysitter-nanny/noida,301,"best-service-in-city: service×city"
/best-nanny-service-in-patna,,410,"best-service-in-city: city 'patna' outside footprint"
/best-nanny-service-in-pune,/services/babysitter-nanny/pune,301,"best-service-in-city: service×city"
/best-nanny-service-in-raipur,,410,"best-service-in-city: city 'raipur' outside footprint"
/best-nanny-service-in-ranchi,,410,"best-service-in-city: city 'ranchi' outside footprint"
/best-nanny-service-in-surat,,410,"best-service-in-city: city 'surat' outside footprint"
/best-nanny-service-in-thane,,410,"best-service-in-city: city 'thane' outside footprint"
/best-nanny-service-in-thiruvananthapuram,,410,"best-service-in-city: city 'thiruvananthapuram' outside footprint"
/best-nanny-service-in-vadodara,,410,"best-service-in-city: city 'vadodara' outside footprint"
/best-nanny-service-in-varanasi,,410,"best-service-in-city: city 'varanasi' outside footprint"
/best-nanny-service-in-vijayawada,,410,"best-service-in-city: city 'vijayawada' outside footprint"
/best-nanny-service-in-visakhapatnam,,410,"best-service-in-city: city 'visakhapatnam' outside footprint"
/best-postnatal-care-service-in-agra,,410,"best-service-in-city: city 'agra' outside footprint"
/best-postnatal-care-service-in-ahmedabad,,410,"best-service-in-city: city 'ahmedabad' outside footprint"
/best-postnatal-care-service-in-bangalore,/services/babysitter-nanny/bangalore,301,"best-service-in-city: service×city"
/best-postnatal-care-service-in-bhopal,,410,"best-service-in-city: city 'bhopal' outside footprint"
/best-postnatal-care-service-in-bhubaneswar,,410,"best-service-in-city: city 'bhubaneswar' outside footprint"
/best-postnatal-care-service-in-chandigarh,,410,"best-service-in-city: city 'chandigarh' outside footprint"
/best-postnatal-care-service-in-chennai,,410,"best-service-in-city: city 'chennai' outside footprint"
/best-postnatal-care-service-in-coimbatore,,410,"best-service-in-city: city 'coimbatore' outside footprint"
/best-postnatal-care-service-in-dehradun,,410,"best-service-in-city: city 'dehradun' outside footprint"
/best-postnatal-care-service-in-delhi,/services/babysitter-nanny/delhi,301,"best-service-in-city: service×city"
/best-postnatal-care-service-in-faridabad,,410,"best-service-in-city: city 'faridabad' outside footprint"
/best-postnatal-care-service-in-ghaziabad,,410,"best-service-in-city: city 'ghaziabad' outside footprint"
/best-postnatal-care-service-in-gurugram,/services/babysitter-nanny/gurgaon,301,"best-service-in-city: service×city"
/best-postnatal-care-service-in-guwahati,,410,"best-service-in-city: city 'guwahati' outside footprint"
/best-postnatal-care-service-in-hyderabad,,410,"best-service-in-city: city 'hyderabad' outside footprint"
/best-postnatal-care-service-in-indore,,410,"best-service-in-city: city 'indore' outside footprint"
/best-postnatal-care-service-in-jaipur,,410,"best-service-in-city: city 'jaipur' outside footprint"
/best-postnatal-care-service-in-jodhpur,,410,"best-service-in-city: city 'jodhpur' outside footprint"
/best-postnatal-care-service-in-kanpur,,410,"best-service-in-city: city 'kanpur' outside footprint"
/best-postnatal-care-service-in-kochi,,410,"best-service-in-city: city 'kochi' outside footprint"
/best-postnatal-care-service-in-kolkata,,410,"best-service-in-city: city 'kolkata' outside footprint"
/best-postnatal-care-service-in-lucknow,,410,"best-service-in-city: city 'lucknow' outside footprint"
/best-postnatal-care-service-in-ludhiana,,410,"best-service-in-city: city 'ludhiana' outside footprint"
/best-postnatal-care-service-in-madurai,,410,"best-service-in-city: city 'madurai' outside footprint"
/best-postnatal-care-service-in-mangalore,/services/babysitter-nanny/mangalore,301,"best-service-in-city: service×city"
/best-postnatal-care-service-in-mumbai,/services/babysitter-nanny/mumbai,301,"best-service-in-city: service×city"
/best-postnatal-care-service-in-mysore,,410,"best-service-in-city: city 'mysore' outside footprint"
/best-postnatal-care-service-in-nagpur,,410,"best-service-in-city: city 'nagpur' outside footprint"
/best-postnatal-care-service-in-nashik,,410,"best-service-in-city: city 'nashik' outside footprint"
/best-postnatal-care-service-in-navi-mumbai,/services/babysitter-nanny/mumbai,301,"best-service-in-city: service×city"
/best-postnatal-care-service-in-noida,/services/babysitter-nanny/noida,301,"best-service-in-city: service×city"
/best-postnatal-care-service-in-patna,,410,"best-service-in-city: city 'patna' outside footprint"
/best-postnatal-care-service-in-pune,/services/babysitter-nanny/pune,301,"best-service-in-city: service×city"
/best-postnatal-care-service-in-raipur,,410,"best-service-in-city: city 'raipur' outside footprint"
/best-postnatal-care-service-in-ranchi,,410,"best-service-in-city: city 'ranchi' outside footprint"
/best-postnatal-care-service-in-surat,,410,"best-service-in-city: city 'surat' outside footprint"
